10,90
20,80
30,70
40,60
50,50
60,40
70,30
80,20
90,10
100,0
110,-10
120,-20
130,-30
140,-40
150,-50
160,-60
170,-70
180,-80
190,-90
200,-100
210,-110
220,-120
230,-130
240,-140
250,-150
260,-160
270,-170
280,-180
290,-190
300,-200
310,-210
320,-220
330,-230
340,-240
350,-250
360,-260
370,-270
380,-280
390,-290
400,-300
410,-310
420,-320
430,-330
440,-340
450,-350
460,-360
470,-370
480,-380
490,-390
500,-400
510,-410
520,-420
530,-430
540,-440
550,-450
560,-460
570,-470
580,-480
590,-490
600,-500
610,-510
620,-520
630,-530
640,-540
650,-550
660,-560
670,-570
680,-580
690,-590
700,-600
710,-610
720,-620
730,-630
740,-640
750,-650
760,-660
770,-670
780,-680
790,-690
800,-700
810,-710
820,-720
830,-730
840,-740
850,-750
860,-760
870,-770
880,-780
890,-790
900,-800
910,-810
920,-820
930,-830
940,-840
950,-850
960,-860
970,-870
980,-880
990,-890
