15,85
25,75
35,65
45,55
55,45
65,35
75,25
85,15
95,5
105,-5
115,-15
125,-25
135,-35
145,-45
155,-55
165,-65
175,-75
185,-85
195,-95
205,-105
215,-115
225,-125
235,-135
245,-145
255,-155
265,-165
275,-175
285,-185
295,-195
305,-205
315,-215
325,-225
335,-235
345,-245
355,-255
365,-265
375,-275
385,-285
395,-295
405,-305
415,-315
425,-325
435,-335
445,-345
455,-355
465,-365
475,-375
485,-385
495,-395
505,-405
515,-415
525,-425
535,-435
545,-445
555,-455
565,-465
575,-475
585,-485
595,-495
605,-505
615,-515
625,-525
635,-535
645,-545
655,-555
665,-565
675,-575
685,-585
695,-595
705,-605
715,-615
725,-625
735,-635
745,-645
755,-655
765,-665
775,-675
785,-685
795,-695
805,-705
815,-715
825,-725
835,-735
845,-745
855,-755
865,-765
875,-775
885,-785
895,-795
905,-805
915,-815
925,-825
935,-835
945,-845
955,-855
965,-865
975,-875
985,-885
